id,target
0,0.02618
1,0.04016
2,0.02709
3,0.03026
4,0.02261
5,0.02064
6,0.05612
8,0.01987
10,0.07791
11,0.04100
12,0.03401
14,0.02317
15,0.04135
18,0.03409
21,0.03902
23,0.04141
24,0.03111
25,0.03044
27,0.04598
29,0.05476
30,0.02684
31,0.03912
32,0.04386
33,0.03496
37,0.02945
38,0.04242
39,0.04383
40,0.02616
41,0.04454
42,0.03369
44,0.02837
45,0.03868
47,0.04442
49,0.02257
51,0.03271
52,0.03041
53,0.03350
54,0.08020
55,0.02128
56,0.03678
57,0.06520
59,0.04078
60,0.04019
62,0.02066
63,0.07092
67,0.03537
68,0.01603
69,0.05132
70,0.02975
71,0.04315
73,0.05685
75,0.03656
76,0.02501
81,0.02533
82,0.02712
83,0.02667
86,0.02824
87,0.04460
88,0.03137
91,0.04382
92,0.03395
94,0.02334
97,0.02897
100,0.02688
102,0.03492
103,0.03038
105,0.03298
106,0.03157
108,0.02961
113,0.06278
114,0.02934
115,0.03865
118,0.04526
122,0.02307
124,0.04658
126,0.02530
128,0.03444
129,0.06249
130,0.06060
131,0.04105
132,0.04929
133,0.01923
134,0.04405
135,0.04526
136,0.02120
139,0.01919
140,0.02919
141,0.04279
146,0.02639
148,0.03230
151,0.01899
152,0.04446
154,0.02564
157,0.03183
158,0.02097
159,0.05307
161,0.02764
164,0.02847
165,0.05445
167,0.02777
168,0.04349
169,0.03324
171,0.02991
172,0.06342
173,0.03657
174,0.03027
175,0.04796
176,0.04525
178,0.03780
179,0.02633
180,0.02476
181,0.02418
182,0.03609
183,0.04887
184,0.03396
185,0.05373
187,0.02286
188,0.03587
190,0.02268
191,0.03228
192,0.05143
195,0.03579
196,0.04271
198,0.03497
201,0.03802
202,0.02884
203,0.02563
204,0.02847
207,0.03348
213,0.04538
219,0.02701
220,0.03450
222,0.04514
226,0.03185
228,0.06319
230,0.03700
231,0.02444
232,0.03231
233,0.03602
234,0.02656
236,0.03680
237,0.03628
238,0.04876
240,0.03209
241,0.02060
242,0.04922
243,0.05230
245,0.02880
246,0.05469
247,0.02499
249,0.06168
250,0.03221
251,0.02159
252,0.03364
253,0.03295
254,0.05679
255,0.05738
256,0.04360
257,0.02667
258,0.03707
259,0.04975
260,0.02514
262,0.02301
267,0.03112
268,0.02822
270,0.03247
272,0.03276
273,0.02469
274,0.02968
275,0.03374
276,0.02627
277,0.02813
278,0.04222
279,0.04353
281,0.04146
282,0.02890
283,0.04485
287,0.05048
288,0.04364
289,0.03740
290,0.02250
291,0.03187
292,0.07500
293,0.03461
294,0.02405
295,0.01998
296,0.06825
297,0.03218
298,0.03379
299,0.03511
300,0.04857
303,0.04367
304,0.03753
308,0.01816
314,0.07368
315,0.03339
317,0.03084
318,0.05442
320,0.07281
322,0.03712
323,0.02689
327,0.04377
329,0.04037
331,0.02630
332,0.07913
333,0.04459
334,0.02157
335,0.03546
336,0.05849
337,0.04308
341,0.04580
343,0.03124
345,0.05593
347,0.03229
348,0.02590
349,0.02884
352,0.03573
353,0.01893
354,0.06321
355,0.02923
356,0.04069
357,0.02821
358,0.02890
359,0.03369
361,0.04791
362,0.03252
365,0.03821
366,0.06789
368,0.03816
369,0.02521
371,0.02138
373,0.03433
376,0.07728
377,0.03384
379,0.06370
381,0.02701
382,0.03483
383,0.02885
384,0.03740
385,0.04143
386,0.04161
387,0.03124
388,0.08962
390,0.03200
391,0.03490
392,0.06040
393,0.03432
394,0.02769
396,0.04263
400,0.05501
402,0.05174
403,0.03527
405,0.03500
407,0.05418
409,0.04525
411,0.02728
412,0.01599
414,0.07610
415,0.03373
416,0.02513
418,0.02943
419,0.02523
421,0.02233
422,0.05571
423,0.03293
424,0.04067
426,0.03391
427,0.06648
428,0.05062
436,0.05238
438,0.03565
442,0.02699
443,0.02524
445,0.04596
446,0.05317
447,0.02287
450,0.04556
452,0.02007
453,0.04093
455,0.03409
458,0.06614
459,0.01986
461,0.02859
463,0.02928
467,0.06525
470,0.03100
471,0.03517
472,0.03902
476,0.04396
477,0.04363
481,0.05802
482,0.05467
483,0.08689
485,0.02533
487,0.02445
488,0.02124
490,0.03078
492,0.03083
494,0.04951
497,0.06374
499,0.03709
500,0.04828
501,0.03486
503,0.03671
505,0.02713
506,0.03799
507,0.04158
509,0.03618
510,0.03392
511,0.04301
512,0.02353
514,0.03556
515,0.03833
516,0.04710
517,0.08593
519,0.04813
520,0.05933
521,0.02622
522,0.06128
523,0.04052
527,0.03306
530,0.03778
532,0.03007
534,0.04032
536,0.05797
539,0.02937
543,0.02441
547,0.04315
550,0.03540
551,0.05246
552,0.03031
553,0.05428
555,0.02602
556,0.03359
557,0.02664
558,0.05688
559,0.02651
560,0.02933
561,0.03101
565,0.03882
566,0.03351
567,0.02930
571,0.02287
572,0.02939
574,0.02155
575,0.01857
576,0.04786
577,0.04722
578,0.02453
579,0.03792
581,0.03002
587,0.03624
589,0.02683
590,0.07087
591,0.03916
592,0.04116
593,0.02488
594,0.05206
595,0.05192
596,0.02724
597,0.03724
598,0.06836
600,0.02472
602,0.02949
605,0.02835
606,0.04152
607,0.02935
612,0.02295
613,0.03012
614,0.02079
615,0.02905
616,0.03077
617,0.02497
618,0.08136
620,0.01807
621,0.04056
622,0.02982
623,0.04254
628,0.02249
631,0.03660
632,0.02078
633,0.03152
634,0.04451
635,0.05370
637,0.04669
638,0.05486
640,0.03494
643,0.03014
644,0.08765
645,0.03849
646,0.02710
649,0.03309
651,0.07169
653,0.02183
654,0.05385
655,0.07228
656,0.04054
658,0.05488
659,0.03145
661,0.04232
662,0.02916
663,0.04704
664,0.05592
665,0.06324
667,0.03011
668,0.05842
671,0.07155
673,0.03904
674,0.05119
675,0.01773
676,0.03728
677,0.03271
678,0.02800
679,0.04951
680,0.03770
681,0.04811
682,0.04414
683,0.03078
684,0.02795
686,0.04532
687,0.04319
688,0.04772
690,0.02375
691,0.03634
692,0.04819
693,0.02861
694,0.05352
695,0.02345
696,0.02585
698,0.05184
699,0.03199
702,0.05423
703,0.01685
705,0.04785
706,0.04043
707,0.03029
708,0.02450
709,0.04625
710,0.07044
713,0.03068
714,0.03543
715,0.04018
716,0.04769
717,0.05169
718,0.02679
719,0.02233
720,0.04160
721,0.03061
723,0.03628
724,0.05249
726,0.04010
728,0.07444
730,0.03498
732,0.03838
734,0.03001
735,0.02982
737,0.03409
738,0.03649
741,0.03989
742,0.03069
743,0.03224
746,0.02975
747,0.04071
749,0.03583
750,0.04926
752,0.04137
755,0.05226
757,0.02330
758,0.03042
759,0.02320
765,0.03077
766,0.02047
767,0.06393
768,0.03086
769,0.03519
770,0.02815
771,0.02932
772,0.01998
773,0.04638
775,0.04433
776,0.03254
778,0.02793
779,0.03551
780,0.04716
782,0.04834
783,0.03948
784,0.04074
785,0.01579
786,0.03050
788,0.06109
789,0.02604
792,0.06476
793,0.02536
794,0.04619
797,0.06337
798,0.02825
799,0.05737
800,0.05738
801,0.05213
802,0.05406
805,0.02346
807,0.03131
808,0.02185
811,0.03555
813,0.02395
814,0.02759
